project_a,project_b,winner,winner_name
Filecoin Nigeria,Filecoin Community Services,project_b,Filecoin Community Services
FilPunks,fil-miner-info.safematrix,project_a,FilPunks
FIL RetroPGF Data Analysis & Round Modeling,FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,project_b,FilPonto: Public goods chain infrastructure & collaborations support for Filecoin
Filet Finance,Filecoin Client Implementation - Venus,project_b,Filecoin Client Implementation - Venus
JZFS - Building Data Hub-and-Spoke Model with Filecoin,Boost,project_b,Boost
filsnap,FilDOS,project_a,filsnap
Forest Explorer,CalibrationNet Stability Project,project_b,CalibrationNet Stability Project
Lily: blockchain data extraction for Filecoin,Fil Implementers WG - Cross-Client Coordination and Governance,project_b,Fil Implementers WG - Cross-Client Coordination and Governance
OrbitChina,Open Source Observer (OSO),project_b,Open Source Observer (OSO)
Spacescope: API service for the Filecoin ecosystem,Eastore,project_a,Spacescope: API service for the Filecoin ecosystem
CIDgravity Filecoin Gateway,Axelar Network,project_a,CIDgravity Filecoin Gateway
Secured Finance,Forest,project_b,Forest
ETHAccra,Filecoin FIPs Tracker,project_a,ETHAccra
Storacha-Solana-SDK,Multichain Storage,project_b,Multichain Storage
FIL-B (FIL Builders) DX and Community,Meet with Huddle01,project_a,FIL-B (FIL Builders) DX and Community
OneForm – SocialCap,Filecoin Orbit Bootcamp Africa,project_b,Filecoin Orbit Bootcamp Africa
Ancients Research,Metrics for the Filecoin P2P network health,project_b,Metrics for the Filecoin P2P network health
ETH-FIL swap,Filecoin Beam,project_b,Filecoin Beam
IPFS及Filecoin价值资讯传递（南山居士Hill）,chainfee,project_a,IPFS及Filecoin价值资讯传递（南山居士Hill）
B<>rder/ess Developers Program,MUSE,project_a,B<>rder/ess Developers Program
iso-filecoin,Filmint,project_a,iso-filecoin
witnesschain,IPFS Public Utilities,project_b,IPFS Public Utilities
Crossfi,OpenEdStore Decentralized Educational Storage Platform,project_a,Crossfi
Filecoin Data Portal,Curio Smart Cordon & Restart System,project_a,Filecoin Data Portal
MechaFIL-JAX,Filscan Explorer,project_b,Filscan Explorer
SealGuard,py-libp2p: The Python libp2p Stack for Filecoin & IPFS,project_b,py-libp2p: The Python libp2p Stack for Filecoin & IPFS
Filecoin Address Drainer,FILCAPETOWN,project_a,Filecoin Address Drainer
Filecoin Kenya Community,FIL LAGOS,project_a,Filecoin Kenya Community
MYRAD,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,project_b,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods
Old Faithful,Beryx Filecoin Explorer,project_b,Beryx Filecoin Explorer
Lighthouse,Keypo,project_a,Lighthouse
FilOz – Advancing the Filecoin Protocol,Retrieval Tester,project_a,FilOz – Advancing the Filecoin Protocol
Filecoin Community Service -VenusHub,Chain.Love,project_b,Chain.Love
Filliquid,Safe on Filecoin,project_a,Filliquid
Filecoin BigQuery Data Repository,filecoin-checker,project_a,Filecoin BigQuery Data Repository
drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,go-libp2p,project_a,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election
BlockseBlock,Filosign,project_a,BlockseBlock
WarmWeb,Eth Transport – Decentralized Civic Infrastructure on Filecoin,project_b,Eth Transport – Decentralized Civic Infrastructure on Filecoin
FIP 100 Research & Development,ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),project_a,FIP 100 Research & Development
libp2p Community Architecting and Infra Management,Asia-SPWG,project_a,libp2p Community Architecting and Infra Management
Curio Dashboard,万佳社区,project_b,万佳社区
Curio Storage,Guide To Filecoin - Easing the Transition to Filecoin.,project_a,Curio Storage
boxo-starter-kit,FIP Editors - Filecoin Improvement Proposal Governance,project_b,FIP Editors - Filecoin Improvement Proposal Governance
GainForest: The world’s first community-owned data commons for nature impact,4EVERLAND,project_a,GainForest: The world’s first community-owned data commons for nature impact
Curio Snark Market,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",project_b,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges."
"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",NanoDC Project,project_b,NanoDC Project
Cuview,Forest Archive,project_b,Forest Archive
MetaEra,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,project_b,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild
Root Key Holder management portal,FileScope AI: Blockchain-Powered Dataset Analysis Platform,project_a,Root Key Holder management portal
Silvi: IPFS-Powered Biodiversity Infrastructure,Filecoin Ledger App & Installation Hub,project_b,Filecoin Ledger App & Installation Hub
Filecoin Spark,Drips,project_a,Filecoin Spark
CIDgravity Nextcloud App,Filecoin Deal Tool - Droplet,project_b,Filecoin Deal Tool - Droplet
Curio APT Repository (Filecoin APT),Lynx – Storage Provider Retrieval Analytics Platform,project_b,Lynx – Storage Provider Retrieval Analytics Platform
ND Labs,OP Medicine – Filecoin-Powered Healthcare Infrastructure,project_b,OP Medicine – Filecoin-Powered Healthcare Infrastructure
Cyberport Data Integration,Helia,project_b,Helia
IPFS Desktop and Companion,UCAN,project_a,IPFS Desktop and Companion
Beryx Filecoin API,Boxo and Kubo,project_b,Boxo and Kubo
Filecoin Orbit Uganda,DevTTY Filecoin Mainnet Bootstrap Nodes,project_b,DevTTY Filecoin Mainnet Bootstrap Nodes
The Epoch Clock,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",project_b,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
Filecoin Nigeria,Blockscout Open Source Filecoin Explorer,project_b,Blockscout Open Source Filecoin Explorer
FilPunks,Filecoin Slack Community Admin,project_b,Filecoin Slack Community Admin
Filecoin Community Services,FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,project_a,Filecoin Community Services
fil-miner-info.safematrix,Filet Finance,project_b,Filet Finance
Boost,FIL RetroPGF Data Analysis & Round Modeling,project_a,Boost
FilDOS,Filecoin Client Implementation - Venus,project_b,Filecoin Client Implementation - Venus
JZFS - Building Data Hub-and-Spoke Model with Filecoin,Forest Explorer,project_b,Forest Explorer
filsnap,Fil Implementers WG - Cross-Client Coordination and Governance,project_a,filsnap
Open Source Observer (OSO),CalibrationNet Stability Project,project_a,Open Source Observer (OSO)
Lily: blockchain data extraction for Filecoin,Spacescope: API service for the Filecoin ecosystem,project_b,Spacescope: API service for the Filecoin ecosystem
OrbitChina,Axelar Network,project_b,Axelar Network
Eastore,Forest,project_b,Forest
CIDgravity Filecoin Gateway,ETHAccra,project_a,CIDgravity Filecoin Gateway
Secured Finance,Storacha-Solana-SDK,project_a,Secured Finance
FIL-B (FIL Builders) DX and Community,Filecoin FIPs Tracker,project_a,FIL-B (FIL Builders) DX and Community
OneForm – SocialCap,Multichain Storage,project_b,Multichain Storage
Meet with Huddle01,Ancients Research,project_b,Ancients Research
ETH-FIL swap,Filecoin Orbit Bootcamp Africa,project_a,ETH-FIL swap
chainfee,Metrics for the Filecoin P2P network health,project_b,Metrics for the Filecoin P2P network health
IPFS及Filecoin价值资讯传递（南山居士Hill）,Filecoin Beam,project_a,IPFS及Filecoin价值资讯传递（南山居士Hill）
MUSE,Filmint,project_b,Filmint
B<>rder/ess Developers Program,IPFS Public Utilities,project_b,IPFS Public Utilities
OpenEdStore Decentralized Educational Storage Platform,iso-filecoin,project_b,iso-filecoin
witnesschain,Curio Smart Cordon & Restart System,project_b,Curio Smart Cordon & Restart System
Crossfi,Filscan Explorer,project_b,Filscan Explorer
py-libp2p: The Python libp2p Stack for Filecoin & IPFS,Filecoin Data Portal,project_b,Filecoin Data Portal
Filecoin Address Drainer,MechaFIL-JAX,project_b,MechaFIL-JAX
SealGuard,FIL LAGOS,project_a,SealGuard
MYRAD,FILCAPETOWN,project_a,MYRAD
Beryx Filecoin Explorer,Filecoin Kenya Community,project_a,Beryx Filecoin Explorer
Keypo,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,project_b,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods
FilOz – Advancing the Filecoin Protocol,Old Faithful,project_a,FilOz – Advancing the Filecoin Protocol
Lighthouse,Filecoin Community Service -VenusHub,project_b,Filecoin Community Service -VenusHub
Filliquid,Retrieval Tester,project_a,Filliquid
Chain.Love,Filecoin BigQuery Data Repository,project_a,Chain.Love
Safe on Filecoin,go-libp2p,project_b,go-libp2p
Filosign,filecoin-checker,project_b,filecoin-checker
drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,Eth Transport – Decentralized Civic Infrastructure on Filecoin,project_a,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election
FIP 100 Research & Development,BlockseBlock,project_a,FIP 100 Research & Development
Asia-SPWG,WarmWeb,project_a,Asia-SPWG
Curio Dashboard,ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),project_a,Curio Dashboard
libp2p Community Architecting and Infra Management,Guide To Filecoin - Easing the Transition to Filecoin.,project_a,libp2p Community Architecting and Infra Management
FIP Editors - Filecoin Improvement Proposal Governance,万佳社区,project_a,FIP Editors - Filecoin Improvement Proposal Governance
Curio Storage,GainForest: The world’s first community-owned data commons for nature impact,project_a,Curio Storage
boxo-starter-kit,Curio Snark Market,project_b,Curio Snark Market
4EVERLAND,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",project_b,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments"
Forest Archive,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",project_b,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges."
MetaEra,NanoDC Project,project_b,NanoDC Project
Cuview,Root Key Holder management portal,project_b,Root Key Holder management portal
Filecoin Ledger App & Installation Hub,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,project_a,Filecoin Ledger App & Installation Hub
FileScope AI: Blockchain-Powered Dataset Analysis Platform,Drips,project_b,Drips
Silvi: IPFS-Powered Biodiversity Infrastructure,CIDgravity Nextcloud App,project_a,Silvi: IPFS-Powered Biodiversity Infrastructure
Lynx – Storage Provider Retrieval Analytics Platform,Filecoin Spark,project_b,Filecoin Spark
Filecoin Deal Tool - Droplet,OP Medicine – Filecoin-Powered Healthcare Infrastructure,project_a,Filecoin Deal Tool - Droplet
Cyberport Data Integration,Curio APT Repository (Filecoin APT),project_b,Curio APT Repository (Filecoin APT)
ND Labs,IPFS Desktop and Companion,project_b,IPFS Desktop and Companion
Beryx Filecoin API,Helia,project_b,Helia
UCAN,DevTTY Filecoin Mainnet Bootstrap Nodes,project_b,DevTTY Filecoin Mainnet Bootstrap Nodes
The Epoch Clock,Boxo and Kubo,project_b,Boxo and Kubo
Filecoin Orbit Uganda,Filecoin Nigeria,project_b,Filecoin Nigeria
FilPunks,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",project_b,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,Blockscout Open Source Filecoin Explorer,project_b,Blockscout Open Source Filecoin Explorer
Filet Finance,Filecoin Slack Community Admin,project_a,Filet Finance
Filecoin Community Services,Boost,project_b,Boost
fil-miner-info.safematrix,FilDOS,project_b,FilDOS
FIL RetroPGF Data Analysis & Round Modeling,Forest Explorer,project_b,Forest Explorer
Filecoin Client Implementation - Venus,Fil Implementers WG - Cross-Client Coordination and Governance,project_a,Filecoin Client Implementation - Venus
JZFS - Building Data Hub-and-Spoke Model with Filecoin,Open Source Observer (OSO),project_b,Open Source Observer (OSO)
Filecoin Client Implementation - Venus,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",project_b,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
Spacescope: API service for the Filecoin ecosystem,filsnap,project_a,Spacescope: API service for the Filecoin ecosystem
Axelar Network,CalibrationNet Stability Project,project_a,Axelar Network
Lily: blockchain data extraction for Filecoin,Forest,project_b,Forest
OrbitChina,ETHAccra,project_b,ETHAccra
Eastore,Storacha-Solana-SDK,project_a,Eastore
CIDgravity Filecoin Gateway,FIL-B (FIL Builders) DX and Community,project_a,CIDgravity Filecoin Gateway
OneForm – SocialCap,Secured Finance,project_b,Secured Finance
Filecoin FIPs Tracker,Ancients Research,project_b,Ancients Research
Multichain Storage,ETH-FIL swap,project_a,Multichain Storage
Meet with Huddle01,chainfee,project_b,chainfee
IPFS及Filecoin价值资讯传递（南山居士Hill）,Filecoin Orbit Bootcamp Africa,project_a,IPFS及Filecoin价值资讯传递（南山居士Hill）
Metrics for the Filecoin P2P network health,Filecoin Beam,project_a,Metrics for the Filecoin P2P network health
MUSE,IPFS Public Utilities,project_b,IPFS Public Utilities
OpenEdStore Decentralized Educational Storage Platform,Filmint,project_b,Filmint
B<>rder/ess Developers Program,Curio Smart Cordon & Restart System,project_b,Curio Smart Cordon & Restart System
Filscan Explorer,iso-filecoin,project_b,iso-filecoin
witnesschain,py-libp2p: The Python libp2p Stack for Filecoin & IPFS,project_b,py-libp2p: The Python libp2p Stack for Filecoin & IPFS
Filecoin Address Drainer,Crossfi,project_b,Crossfi
Filecoin Data Portal,FIL LAGOS,project_a,Filecoin Data Portal
MYRAD,MechaFIL-JAX,project_b,MechaFIL-JAX
SealGuard,Beryx Filecoin Explorer,project_b,Beryx Filecoin Explorer
Keypo,FILCAPETOWN,project_a,Keypo
FilOz – Advancing the Filecoin Protocol,Filecoin Kenya Community,project_a,FilOz – Advancing the Filecoin Protocol
Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,Filecoin Community Service -VenusHub,project_b,Filecoin Community Service -VenusHub
Old Faithful,Filliquid,project_b,Filliquid
Filecoin BigQuery Data Repository,Lighthouse,project_b,Lighthouse
go-libp2p,Retrieval Tester,project_a,go-libp2p
Chain.Love,Filosign,project_a,Chain.Love
Safe on Filecoin,Eth Transport – Decentralized Civic Infrastructure on Filecoin,project_b,Eth Transport – Decentralized Civic Infrastructure on Filecoin
